year	uid	title	author	presenter	country	affiliation
2016	578	Cluster validation: How to think and what to do	Christian Hennig	1	United Kingdom	UCL
2016	156	Efficient computation of the minimum weighted covariance determinant estimator	Jurjen Duintjer Tebbens	1	Czech Republic	Institute of Computer Science of the Czech Academy of Sciences
2016	156	Efficient computation of the minimum weighted covariance determinant estimator	Jan Kalina	0	Czech Republic	Faculty of Social Sciences Charles University in Prague
2016	364	Robust estimation and moment selection in dynamic fixed-effects panel data models	Pavel Cizek	1	Netherlands	Tilburg University
2016	364	Robust estimation and moment selection in dynamic fixed-effects panel data models	Michelle Aquaro	0	United Kingdom	University of Warwick
2016	389	Power properties of the out-of-sample portfolio performance measures tests	Ekaterina Kazak	1	Germany	University of Konstanz
2016	389	Power properties of the out-of-sample portfolio performance measures tests	Winfried Pohlmeier	0	Germany	University of Konstanz
2016	430	Nonparametric permutation-based testing and ranking on multivariate time data	Livio Corain	1	Italy	University of Padova
2016	237	Shrinkage estimation through the ridGME procedure	Pedro Macedo	1	Portugal	University of Aveiro
2016	548	Combining structural change analysis with anomaly detection: A constrained clustering approach	Carlo Drago	1	Italy	University of Rome Niccolo Cusano
2016	550	Capturing correlation changes by applying kernel change point detection on the running correlations	Jedelyn Cabrieto	1	Belgium	KU Leuven
2016	550	Capturing correlation changes by applying kernel change point detection on the running correlations	Francis Tuerlinckx	0	Belgium	KU Leuven
2016	550	Capturing correlation changes by applying kernel change point detection on the running correlations	Peter Kuppens	0	Belgium	Leuven
2016	550	Capturing correlation changes by applying kernel change point detection on the running correlations	Eva Ceulemans	0	Belgium	University of Leuven
2016	383	Time series forecasting with a learning algorithm: An approximate dynamic programming approach	Ricardo Collado	1	United States	Stevens Institute of Technology
2016	383	Time series forecasting with a learning algorithm: An approximate dynamic programming approach	German Creamer	0	United States	Stevens Institute of Technology
2016	406	Forecasting financial time big data using interval time series	Carlos Mate	1	Spain	Universidad Pontificia Comillas
2016	406	Forecasting financial time big data using interval time series	Javier Redondo	0	Spain	Universidad Pontificia Comillas
2016	355	Estimating copula density: Convergence speed results	Jerome Collet	1	France	Electricite de France RD Division
2016	458	Semiparametric copula quantile regression for complete or censored data	Anouar El Ghouch	1	Belgium	The University catholique de Louvain
2016	493	How to estimate CoVaR	Piotr Jaworski	1	Poland	University of Warsaw
2016	450	Model distances for vine copulas in high dimensions	Matthias Killiches	1	Germany	Technische Universitaet Muenchen
2016	450	Model distances for vine copulas in high dimensions	Daniel Kraus	0	Germany	Technische Universitaet Muenchen
2016	450	Model distances for vine copulas in high dimensions	Claudia Czado	0	Germany	Technische Universitaet Muenchen
2016	437	Representing sparse Gaussian DAGs as sparse R-vines allowing for non-Gaussian dependence	Dominik Mueller	1	Germany	Technische Universitaet Muenchen
2016	437	Representing sparse Gaussian DAGs as sparse R-vines allowing for non-Gaussian dependence	Claudia Czado	0	Germany	Technische Universitaet Muenchen
2016	518	Inverse multiple correspondence analysis	Michel van de Velden	1	Netherlands	Erasmus University Rotterdam
2016	518	Inverse multiple correspondence analysis	Wilco van den Heuvel	0	Netherlands	Erasmus Universiteit Rotterdam
2016	518	Inverse multiple correspondence analysis	Patrick Groenen	0	Netherlands	Erasmus University Rotterdam
2016	506	An optimal nearest neighbor hot deck imputation based on a b-matching problem	Jan Pablo Burgard	1	Germany	Trier University
2016	506	An optimal nearest neighbor hot deck imputation based on a b-matching problem	Sven de Vries	0	Germany	Trier University
2016	506	An optimal nearest neighbor hot deck imputation based on a b-matching problem	Ulf Friedrich	0	Germany	Trier University
2016	506	An optimal nearest neighbor hot deck imputation based on a b-matching problem	Dennis Kreber	0	Germany	Trier University
2016	544	An unconstrained approach to rotational indeterminacy in Bayesian exploratory multidimensional IRT models	Sara Fontanella	1	United Kingdom	The Open University
2016	544	An unconstrained approach to rotational indeterminacy in Bayesian exploratory multidimensional IRT models	Lara Fontanella	0	Italy	University of Chieti-Pescara
2016	544	An unconstrained approach to rotational indeterminacy in Bayesian exploratory multidimensional IRT models	Pasquale  Valentini	0	Italy	University of Chieti-Pescara
2016	544	An unconstrained approach to rotational indeterminacy in Bayesian exploratory multidimensional IRT models	Nickolay Trendafilov	0	United Kingdom	Open University
2016	446	Visualizations of multiple imputations using generalized orthogonal procrustes analysis	Johane Nienkemper-Swanepoel	1	South Africa	Stellenbosch University
2016	446	Visualizations of multiple imputations using generalized orthogonal procrustes analysis	Niel Le Roux	0	South Africa	Stellenbosch University
2016	446	Visualizations of multiple imputations using generalized orthogonal procrustes analysis	Sugnet Lubbe	0	South Africa	University of Cape Town
2016	372	A new composite indicator for sensorial data	Stefano Bonnini	1	Italy	University of Ferrara
2016	182	Semiparametric Bayesian regression via Potts model	Fernando Quintana	1	Chile	Pontificia Universidad Catolica de Chile
2016	182	Semiparametric Bayesian regression via Potts model	Alejandro Murua	0	Canada	University of Montreal
2016	250	Hierarchical processes for Bayesian nonparametric inference	Antonio Lijoi	1	Italy	University of Pavia and Collegio Carlo Alberto
2016	250	Hierarchical processes for Bayesian nonparametric inference	Federico  Camerlenghi	0	Italy	Bocconi University
2016	250	Hierarchical processes for Bayesian nonparametric inference	Peter Orbanz	0	United States	Columbia University
2016	250	Hierarchical processes for Bayesian nonparametric inference	Igor Pruenster	0	Italy	Bocconi University
2016	256	Sparse and modular networks using exchangeable random measures	Francois Caron	1	United Kingdom	University of Oxford
2016	238	Robust regularised precision matrix estimation	Garth Tarr	1	Australia	University of Sydney
2016	290	Sparse S- and MM-estimation for high-dimensional regression	Andreas Alfons	1	Netherlands	Erasmus University Rotterdam
2016	290	Sparse S- and MM-estimation for high-dimensional regression	Christophe Croux	0	France	Edhec Business School
2016	290	Sparse S- and MM-estimation for high-dimensional regression	Viktoria Oellerer	0	Belgium	KU Leuven
2016	346	Sparse robust regression estimators	David Kepplinger	1	Canada	University of British Columbia
2016	346	Sparse robust regression estimators	Matias Salibian-Barrera	0	Canada	The University of British Columbia
2016	346	Sparse robust regression estimators	Gabriela Cohen Freue	0	Canada	University of British Columbia
2016	342	Initial estimators for regularized robust methods in high-dimensional settings	David Kepplinger	1	Canada	University of British Columbia
2016	342	Initial estimators for regularized robust methods in high-dimensional settings	Matias Salibian-Barrera	0	Canada	The University of British Columbia
2016	342	Initial estimators for regularized robust methods in high-dimensional settings	Gabriela Cohen Freue	0	Canada	University of British Columbia
2016	179	Smart watch unboxing video viewing frequency prediction by support vector machine and Bayesian probit analysis	Nai-Hua Chen	1	Taiwan	Chienkuo Technology University
2016	195	Evaluating human networks of author's affiliation info and co-author info in scientific literature by using centralities	Yuji Mizukami	1	Japan	Nihon University
2016	195	Evaluating human networks of author's affiliation info and co-author info in scientific literature by using centralities	Yosuke Mizutani	0	Japan	Former org Demand Side Science Inc
2016	195	Evaluating human networks of author's affiliation info and co-author info in scientific literature by using centralities	Keisuke Honda	0	Japan	The Institute of Statistical Mathematics
2016	195	Evaluating human networks of author's affiliation info and co-author info in scientific literature by using centralities	Shigenori Suzuki	0	Japan	Research Institute of Info-Communication Medicine
2016	195	Evaluating human networks of author's affiliation info and co-author info in scientific literature by using centralities	Junji Nakano	0	Japan	The Institute of Statistical Mathematics
2016	232	The joint model for the survival data and binary repeated measures	Yi-Ting Hwang	1	Taiwan	National Taipei University
2016	232	The joint model for the survival data and binary repeated measures	Chia-Hui Huang	0	Taiwan	National Taipei University
2016	232	The joint model for the survival data and binary repeated measures	Chun-Chao  Wang	0	Taiwan	National Taipei University
2016	232	The joint model for the survival data and binary repeated measures	Yi-Kang  Tseng	0	Taiwan	National Central University
2016	246	Economic design of two-stage control charts with asymmetric and dependent measurements	Nan-Cheng Su	1	Taiwan	National Taipei University
2016	394	Expanded alternating optimization for matrix factorization and penalized regression	William James Murdoch	1	United States	University of California at Berkeley
2016	394	Expanded alternating optimization for matrix factorization and penalized regression	Mu Zhu	0	Canada	University of Waterloo
2016	154	Semiparametric estimation of mixed analysis of covariance model	Virgelio M Alao	1	Philippines	Visayas State University
2016	154	Semiparametric estimation of mixed analysis of covariance model	Erniel Barrios	0	Philippines	University of the Philippines
2016	154	Semiparametric estimation of mixed analysis of covariance model	Joseph Ryan Lansangan	0	Philippines	University of the Philippines
2016	514	Evaluation of similarity for contexts on association rule based extraction	Ken Nittono	1	Japan	Hosei University
2016	586	The coreset variational Bayes (CVB) algorithm for mixture analysis	Clare McGrory	1	Australia	University of Queensland
2016	242	Using bandwidths as scales in multiscale localpolynomial decompositions	Mohamed Amghar	1	Belgium	Universite Libre de Bruxelles
2016	242	Using bandwidths as scales in multiscale localpolynomial decompositions	Maarten Jansen	0	Belgium	ULB Brussels
2016	545	Stochastic simulation models for multi-site nonstationary time series using wavelets	Ying Sun	1	Saudi Arabia	KAUST
2016	571	Minimal support tight wavelet frames in a probabilistic MRI denoising method	Sergio Villullas Merino	1	Spain	Universidad de Valladolid, Dpto de Algebra, Analisis Matematico, Geometria y Topologia
2016	260	Disaggregated electricity forecasting using wavelet-based clustering of individual consumers	Jairo Cugliari	1	France	Univ Lyon - Ezus
2016	260	Disaggregated electricity forecasting using wavelet-based clustering of individual consumers	Yannig Goude	0	France	EDF
2016	260	Disaggregated electricity forecasting using wavelet-based clustering of individual consumers	Jean-Michel Poggi	0	France	University Paris-Sud Orsay
2016	167	Empirical likelihood based inference for fixed effects varying coefficient panel data models	Luis Antonio Arteaga Molina	1	Spain	Universidad de Cantabria
2016	167	Empirical likelihood based inference for fixed effects varying coefficient panel data models	Juan Manuel Rodriguez-Poo	0	Spain	Universidad de Cantabria
2016	188	Time-varying SURE: A nonparametric approach	Isabel Casas	1	Denmark	University of Southern Denmark
2016	188	Time-varying SURE: A nonparametric approach	Eva Ferreira	0	Spain	University of the Basque Country
2016	188	Time-varying SURE: A nonparametric approach	Susan Orbe	0	Spain	University of the Basque Country
2016	516	Integer-valued autoregressive models with dynamic coefficient driven by a stochastic recurrence equation	Paolo Gorgi	1	Italy	University of Padua
2016	461	A linear mixed-effect state space model to discriminate unobservable structural components	Marco Costa	1	Portugal	University of Aveiro
2016	461	A linear mixed-effect state space model to discriminate unobservable structural components	Magda Monteiro	0	Portugal	University of Aveiro
2016	445	Consequences of combining Fisher's optimal scores with biadditive models	Niel Le Roux	1	South Africa	Stellenbosch University
2016	445	Consequences of combining Fisher's optimal scores with biadditive models	John Gower	0	United Kingdom	The Open University
2016	445	Consequences of combining Fisher's optimal scores with biadditive models	Sugnet Lubbe	0	South Africa	University of Cape Town
2016	216	Estimation of reliability with semi-parametric frailty modeling of degradation	Debasis Sengupta	1	India	Indian Statistical Institute
2016	216	Estimation of reliability with semi-parametric frailty modeling of degradation	Prajamitra Bhuyan	0	United Kingdom	Imperial College London
2016	362	Overflow analysis of multiple stacks running on the same memory	Ali Devin Sezer	1	Turkey	Middle East Technical University
2016	362	Overflow analysis of multiple stacks running on the same memory	Kamil Demirberk Unlu	0	Turkey	Ankara University and Middle East Technical University
2016	485	Monte Carlo studies when all models are wrong	Mark De Rooij	1	Netherlands	Leiden University
2016	263	Linear regression models with finite mixtures of skew heavy-tailed errors	Luis Enrique Benites Sanchez	1	Brazil	University of Sao Paulo
2016	263	Linear regression models with finite mixtures of skew heavy-tailed errors	Rocio Maehara Aliaga	0	Brazil	University of Sao Paulo
2016	263	Linear regression models with finite mixtures of skew heavy-tailed errors	Victor Hugo Lachos Davila	0	United States	University of Connecticut
2016	385	On mixture modelling with multivariate skew distributions	Sharon Lee	1	Australia	University of Adelaide
2016	385	On mixture modelling with multivariate skew distributions	Geoffrey McLachlan	0	Australia	University of Queensland
2016	358	Robust clustering of multivariate skew data	Luis Angel Garcia-Escudero	1	Spain	Universidad de Valladolid
2016	358	Robust clustering of multivariate skew data	Agustin Mayo-Iscar	0	Spain	Universidad de Valladolid
2016	358	Robust clustering of multivariate skew data	Geoffrey McLachlan	0	Australia	University of Queensland
2016	358	Robust clustering of multivariate skew data	Francesca Greselin	0	Italy	University of Milano Bicocca
2016	257	Nonparametric and parametric confidence intervals for the Youden index and its associated cutoff point	Benjamin Reiser	1	Israel	University of Haifa
2016	257	Nonparametric and parametric confidence intervals for the Youden index and its associated cutoff point	Leonidas Bantis	0	United States	The University of Texas MD AndersonCancer Center
2016	257	Nonparametric and parametric confidence intervals for the Youden index and its associated cutoff point	Christos T Nakas	0	Switzerland	University of Bern
2016	319	Efficient confidence bands for ROC curves	Pablo Martinez-Camblor	1	Spain	University of Oviedo
2016	319	Efficient confidence bands for ROC curves	Sonia Perez-Fernandez	0	Spain	University of Oviedo
2016	319	Efficient confidence bands for ROC curves	Norberto Corral	0	Spain	Universidad de Oviedo
2016	297	A comparative study of methods for testing the equality of two or more ROC curves	Aris Fanjul Hevia	1	Spain	Universidad de Santiago de Compostela
2016	297	A comparative study of methods for testing the equality of two or more ROC curves	Wenceslao Gonzalez-Manteiga	0	Spain	University of Santiago de Compostela
2016	318	Smooth time-dependent ROC curve estimators	Juan-Carlos Pardo-Fernandez	1	Spain	Universidade de Vigo
2016	318	Smooth time-dependent ROC curve estimators	Pablo Martinez-Camblor	0	Spain	University of Oviedo
2016	449	SparseStep: Approximating the counting norm for sparse regularization	Gertjan van den Burg	1	Netherlands	Erasmus University Rotterdam
2016	449	SparseStep: Approximating the counting norm for sparse regularization	Andreas Alfons	0	Netherlands	Erasmus University Rotterdam
2016	449	SparseStep: Approximating the counting norm for sparse regularization	Patrick Groenen	0	Netherlands	Erasmus University Rotterdam
2016	208	Regularized clusterwise multiblock regression	Stephanie Bougeard	1	France	ANSES
2016	208	Regularized clusterwise multiblock regression	Ndeye Niang	0	France	CNAM
2016	208	Regularized clusterwise multiblock regression	Gilbert Saporta	0	France	CNAM
2016	390	Extension to mixed models of the supervised component-based generalised linear regression	Jocelyn Chauvet	1	France	University of Montpellier
2016	390	Extension to mixed models of the supervised component-based generalised linear regression	Catherine Trottier	0	France	University of Montpellier
2016	390	Extension to mixed models of the supervised component-based generalised linear regression	Xavier Bry	0	France	University of Montpellier
2016	390	Extension to mixed models of the supervised component-based generalised linear regression	Frederic Mortier	0	France	Cirad
2016	392	Supervised-component based Cox regression	Theo Simac	1	France	Universite de Montpellier
2016	392	Supervised-component based Cox regression	Thomas Verron	0	France	SEITA - ITG
2016	392	Supervised-component based Cox regression	Xavier Bry	0	France	Universite Montpellier
2016	280	Inversion copulas from nonlinear state space models	Michael Smith	1	Australia	University of Melbourne
2016	280	Inversion copulas from nonlinear state space models	Worapree Ole Maneesoonthorn	0	Australia	Monash University
2016	259	Dynamic quantile function modelling	Richard Gerlach	1	Australia	University of Sydney
2016	470	Vine based modeling of multivariate volatility time-series	Nicole Barthel	1	Germany	Technische Universitaet Muenchen
2016	470	Vine based modeling of multivariate volatility time-series	Claudia Czado	0	Germany	Technische Universitaet Muenchen
2016	470	Vine based modeling of multivariate volatility time-series	Yarema Okhrin	0	Germany	Universitaet Augsburg
2016	568	Copula-MGARCH with dynamic conditional covariance decompositions	Fabian Raters	1	Germany	University of Goettingen
2016	568	Copula-MGARCH with dynamic conditional covariance decompositions	Helmut Herwartz	0	Germany	Georg-August-University Goettingen
2016	283	The finite iterative method for the computation of the correlation matrix implied by a structural recursive model	Mohamed Hanafi	1	France	ONIRIS
2016	283	The finite iterative method for the computation of the correlation matrix implied by a structural recursive model	Zouhair El hadri	0	Morocco	Ibn Tofail University
2016	283	The finite iterative method for the computation of the correlation matrix implied by a structural recursive model	El Kettani Yousfi	0	Morocco	Kenitra University
2016	267	Searching components with simple structure in simultaneous component analysis: Blockwise simplimax rotation	Marieke Timmerman	1	Netherlands	University of Groningen
2016	267	Searching components with simple structure in simultaneous component analysis: Blockwise simplimax rotation	Henk Kiers	0	Netherlands	University of Groningen
2016	267	Searching components with simple structure in simultaneous component analysis: Blockwise simplimax rotation	Eva Ceulemans	0	Belgium	University of Leuven
2016	344	A sparse common component approach with selection of relevant clusters of variables	Katrijn Van Deun	1	Netherlands	Tilburg University
2016	330	Simultaneous principal and network components models for integration of multiset data	Pia Tio	1	Netherlands	University of Amsterdam and Tilburg University
2016	212	Robust inference in a heteroskedastic multilevel linear model with structural change	Ronrick Da-ano	1	Philippines	University of the Philippines-Diliman
2016	212	Robust inference in a heteroskedastic multilevel linear model with structural change	Erniel Barrios	0	Philippines	University of the Philippines
2016	212	Robust inference in a heteroskedastic multilevel linear model with structural change	Joseph Ryan Lansangan	0	Philippines	University of the Philippines
2016	352	Coping with level and character of contamination by SW-estimator	Jan Amos Visek	1	Czech Republic	Charles University in Prague
2016	500	L-moments in linear regression models	Martin Schindler	1	Czech Republic	Technical University of Liberec
2016	500	L-moments in linear regression models	Jan Picek	0	Czech Republic	Technical University of Liberec
2016	368	Robust quantile regression in R	Christian Galarza	1	Brazil	State University of Campinas
2016	368	Robust quantile regression in R	Luis Enrique Benites Sanchez	0	Brazil	University of Sao Paulo
2016	368	Robust quantile regression in R	Victor Hugo Lachos Davila	0	United States	University of Connecticut
2016	566	State space models for the NGS pipeline	Karin Dorman	1	United States	Iowa State University
2016	184	Estimating joint sparse graphical models using fMRI brain imaging data with different coarseness levels	Eugen Pircalabelu	1	Belgium	Université catholique de Louvain
2016	509	Using chain graph models for structural inference for multi-level data with an application to linguistic data	Craig Alexander	1	United Kingdom	University of Glasgow
2016	509	Using chain graph models for structural inference for multi-level data with an application to linguistic data	Ludger Evers	0	United Kingdom	University of Glasgow
2016	509	Using chain graph models for structural inference for multi-level data with an application to linguistic data	Tereza Neocleous	0	United Kingdom	University of Glasgow
2016	509	Using chain graph models for structural inference for multi-level data with an application to linguistic data	Jane Stuart-Smith	0	United Kingdom	University of Glasgow
2016	155	Causal inference with random forests	Stefan Wager	1	United States	Stanford University
2016	173	Tests for nonparametric interactions using random forests	Giles Hooker	1	United States	Cornell University
2016	173	Tests for nonparametric interactions using random forests	Lucas Mentch	0	United States	Statistics and Applied Mathematical Sciences Institute
2016	274	Random forests variable importances: Towards a better understanding and large-scale feature selection	Antonio Sutera	1	Belgium	University of Liege
2016	274	Random forests variable importances: Towards a better understanding and large-scale feature selection	Gilles Louppe	0	Switzerland	New York University
2016	274	Random forests variable importances: Towards a better understanding and large-scale feature selection	Celia Chatel	0	France	Aix-Marseille University
2016	274	Random forests variable importances: Towards a better understanding and large-scale feature selection	Louis Wehenkel	0	Belgium	University of Liege
2016	274	Random forests variable importances: Towards a better understanding and large-scale feature selection	Pierre Geurts	0	Belgium	University of Liege
2016	178	The power Muth distribution	Pedro Jodra-Esteban	1	Spain	Universidad de Zaragoza
2016	178	The power Muth distribution	Hector W  Gomez	0	Chile	Universidad de Antofagasta
2016	178	The power Muth distribution	Maria Dolores Jimenez-Gamero	0	Spain	Universidad de Sevilla
2016	193	Testing for the generalized Poisson-inverse Gaussian distribution	Virtudes Alba-Fernandez	1	Spain	University of Jaen
2016	193	Testing for the generalized Poisson-inverse Gaussian distribution	Maria Dolores Jimenez-Gamero	0	Spain	Universidad de Sevilla
2016	193	Testing for the generalized Poisson-inverse Gaussian distribution	Apostolos Batsidis	0	Greece	University of Ioannina
2016	203	Bayesian estimation techniques in certain life-testing models	Inmaculada Barranco-Chamorro	1	Spain	Fundacion de investigacion de la Universidad de Sevilla
2016	332	Bayesian estimation of independence and compositional interaction in a two-way classification	Mi Ortego	1	Spain	Universitat Politecnica de Catalunya
2016	332	Bayesian estimation of independence and compositional interaction in a two-way classification	Juan Jose Egozcue	0	Spain	University of Girona
2016	300	Finding the number of groups in model-based clustering via constrained likelihoods	Luis Angel Garcia-Escudero	1	Spain	Universidad de Valladolid
2016	300	Finding the number of groups in model-based clustering via constrained likelihoods	Andrea Cerioli	0	Italy	University of Parma
2016	300	Finding the number of groups in model-based clustering via constrained likelihoods	Agustin Mayo-Iscar	0	Spain	Universidad de Valladolid
2016	300	Finding the number of groups in model-based clustering via constrained likelihoods	Marco Riani	0	Italy	University of Parma
2016	324	The effect of trimming on algorithms for combining groups of pre-classified observations	Andrea Cerasa	1	Italy	Joint Research Centre
2016	324	The effect of trimming on algorithms for combining groups of pre-classified observations	Andrea Cerioli	0	Italy	University of Parma
2016	327	Robust methods for analysis of 3-way compositional data in R	Valentin Todorov	1	Austria	UNIDO
2016	327	Robust methods for analysis of 3-way compositional data in R	Maria Anna Di Palma	0	Italy	L Orientale
2016	327	Robust methods for analysis of 3-way compositional data in R	Michele Gallo	0	Italy	University of Naples Orientale
2016	223	Robustness for multilevel models with the forward search	Luigi Grossi	1	Italy	University of Verona
2016	223	Robustness for multilevel models with the forward search	Aldo Corbellini	0	Italy	Faculty of Economics - University of Parma
2016	223	Robustness for multilevel models with the forward search	Fabrizio Laurini	0	Italy	University of Parma
2016	197	On algorithms for generating multiple optimal experimental designs	Yongtao Cao	1	United States	Indiana University of Pennsylvania
2016	239	A multi-objective implementation in swarm intelligence with applications in designs of computer experiments	Frederick Kin Hing Phoa	1	Taiwan	Academia Sinica
2016	239	A multi-objective implementation in swarm intelligence with applications in designs of computer experiments	Livia Lin-Hsuan Chang	0	Taiwan	Academia Sinica
2016	241	Nature-inspired meta-heuristic algorithms for generating optimal experimental designs	Weng Kee Wong	1	United States	UCLA
2016	312	Solving large scale penalized $l_{0}$-norm regression problems via parallel proximal algorithms	Tso-Jung Yen	1	Taiwan	Academia Sinica
2016	379	A test based on kernel density estimation for the eigenvalues in two-sample problem	Hidetoshi Murakami	1	Japan	Tokyo University of Science
2016	374	Nonparametric estimation of ROC surfaces under verification bias	Duc Khanh To	1	Italy	University of Padova
2016	374	Nonparametric estimation of ROC surfaces under verification bias	Monica Chiogna	0	Italy	University of Padua
2016	374	Nonparametric estimation of ROC surfaces under verification bias	Gianfranco Adimari	0	Italy	University of Padua
2016	416	Smoothing parameters for recursive kernel density estimators under double truncation	Yousri Slaoui	1	France	University of Poitiers
2016	377	Nonparametric dynamic discrete choice models for time series data	Byeong Park	1	Korea, South	Seoul National University
2016	377	Nonparametric dynamic discrete choice models for time series data	Leopold Simar	0	Belgium	Universite Catholique de Louvain
2016	377	Nonparametric dynamic discrete choice models for time series data	Valentin Zelenyuk	0	Australia	University of Queensland
2016	527	Detection performance of likelihood ratio test for change-points based on bootstrap for AR(1) models	Ceyda Yazici	1	Turkey	Middle East Technical University
2016	527	Detection performance of likelihood ratio test for change-points based on bootstrap for AR(1) models	Ceylan Yozgatligil	0	Turkey	Middle East Technical University
2016	527	Detection performance of likelihood ratio test for change-points based on bootstrap for AR(1) models	Inci Batmaz	0	Turkey	Middle East Technical University
2016	393	Test of mean difference in longitudinal data based on block resampling approaches	Hirohito Sakurai	1	Japan	National Center for University Entrance Examinations
2016	393	Test of mean difference in longitudinal data based on block resampling approaches	Masaaki Taguri	0	Japan	National Center for University Entrance Examinations
2016	354	Abrupt change in mean avoiding variance estimation without boundary value problem and block bootstrap	Barbora Pestova	1	Czech Republic	The Czech Academy of Sciences, Institute of Computer Science
2016	560	The comparison of block bootstrap techniques in case of generalized resampling scheme	Lukasz Lenart	1	Poland	Cracow University of Economics
2016	483	Numerical optimization for multivariate optimal allocation problems with several levels of strata	Martin Rupp	1	Germany	University of Trier
2016	483	Numerical optimization for multivariate optimal allocation problems with several levels of strata	Ralf Muennich	0	Germany	University of Trier
2016	490	Integer-valued algorithms for constrained optimal allocations in stratified sampling	Ulf Friedrich	1	Germany	Trier University
2016	490	Integer-valued algorithms for constrained optimal allocations in stratified sampling	Ralf Muennich	0	Germany	University of Trier
2016	490	Integer-valued algorithms for constrained optimal allocations in stratified sampling	Sven de Vries	0	Germany	Trier University
2016	490	Integer-valued algorithms for constrained optimal allocations in stratified sampling	Matthias Wagner	0	Germany	Trier University
2016	484	Small area estimation of biodiversity measures	Philip Rosenthal	1	Germany	Trier University
2016	484	Small area estimation of biodiversity measures	Jan Pablo Burgard	0	Germany	Trier University
2016	484	Small area estimation of biodiversity measures	Stephan Feldmeier	0	Germany	Trier University
2016	484	Small area estimation of biodiversity measures	Ralf Muennich	0	Germany	University of Trier
2016	484	Small area estimation of biodiversity measures	Michael Veith	0	Germany	Trier University
2016	481	Non-linear small area models under constraints	Julian Wagner	1	Germany	University of Trier
2016	481	Non-linear small area models under constraints	Ralf Muennich	0	Germany	University of Trier
2016	253	Test of missing data mechanisms: An alternative to the Little test based on regression	Serguei Rouzinov	1	Switzerland	University of Lausanne
2016	253	Test of missing data mechanisms: An alternative to the Little test based on regression	Andre Berchtold	0	Switzerland	University of Lausanne
2016	552	Multiple imputation using sequential regression for high-dimensional data	Faisal Maqbool Zahid	1	Germany	Ludwig-Maximilians-University Munich Germany
2016	552	Multiple imputation using sequential regression for high-dimensional data	Christian Heumann	0	Germany	Ludwig-Maximilians-University Munich
2016	361	Variable selection for longitudinal biomarkers constrained by a detection limit	Julia Geronimi	1	France	CNAM
2016	361	Variable selection for longitudinal biomarkers constrained by a detection limit	Gilbert Saporta	0	France	CNAM
2016	320	Single imputation by data depth	Pavlo Mozharovskyi	1	France	Centre Henri Lebesgue
2016	320	Single imputation by data depth	Julie Josse	0	France	Agrocampus Ouest
2016	320	Single imputation by data depth	Francois Husson	0	France	Agrocampus Rennes
2016	551	Inference when using nearest neighbors methods and the bootstrap	Shahla Faisal	1	Germany	Ludwig Maximilians University Munich
2016	551	Inference when using nearest neighbors methods and the bootstrap	Christian Heumann	0	Germany	Ludwig-Maximilians-University Munich
